masterid,inj,fat,total_entrances,degree,total_racks,stwidth,max_stwidth,aadt2,total_stations,avg_facilfar,factryarea,garagearea,avg_numfloors,total_area,avg_builtfar,avg_assessland,avg_bldgdepth,lotarea,avg_lotdepth,min_numfloors,avg_lotfront,resarea,max_numfloors,comarea,strgearea,unitsres,officearea,avg_residfar,retailarea,bldgarea,avg_assesstot,avg_commfar,avg_bldgfront,unitstotal,x,y
6295,13,0,"",4,"",85.271143932802,48.6607462888449,12398,"",2.35555555555556,0,7970,3.07638888888889,2271.57769804545,1.41611111111111,175471.222222222,54.7569444444444,383317,120.219444444444,0,76.7458333333333,520548,9,286497,4166,586,18146,1.94,39501,807045,1005865.75,0,57.6966666666667,625,-73.8221112609533,40.7571669699335
6308,12,0,"",3,"",141.854502310608,108.381284718468,39967,"",5.4,0,40841,5.4,687.905570622964,3.35711111111111,963520.688888889,54.1093333333333,517808,104.902444444444,2,54.2966666666667,1592307,36,292278,641,2026,40265,5.38666666666667,114378,1884585,4008025.04444444,0.844444444444444,35.4693333333333,2078,-73.9767580025798,40.7434725533224
6309,13,0,"",4,"",124.268336808008,65.7477562503987,18317,"",1.11875,0,0,1.89125,2119.31331184916,0.568125,1379818.3125,41.6703125,4892673,172.2578125,0,95.156875,6757379,14,277013,0,5917,3960,0.6571875,273053,7034392,5375633.71875,0,41.273125,5947,-73.7744959074604,40.671827796141
6319,34,0,"",4,"",118.953362554487,66.7511503097386,18282,"",3.5,44000,0,2.90217391304348,1603.12674029675,1.61978260869565,64485.8260869565,61.6863043478261,682880,110.434782608696,0,50.8060869565217,946553,16,106069,333,1198,8670,3.44847826086957,21251,1052622,442824.456521739,0,40.9854347826087,1221,-73.9463661895767,40.6957039769396
6321,20,0,"",3,"",68.7757132639381,68.7757132639381,1738,"",3.23636363636364,46500,13250,1.81818181818182,2171.40725958242,1.08636363636364,370391,90.0981818181818,805754,152.410909090909,0,236.584545454545,197378,6,230474,0,143,9200,0.997272727272727,9290,427852,1274214,0.545454545454545,96.7272727272727,150,-73.9542543029733,40.5830936086905
6336,11,0,"",4,"",129.550615760314,94.49961278097,18407,"",2,10655,3600,3.02631578947368,1532.41694354631,2.06723684210526,38927,67.3059210526316,267184,100.677368421053,0,29.9723684210526,409026,6,168523,13600,487,9037,1.76907894736842,70253,577549,196654.118421053,0,26.8347368421053,545,-74.0260396048437,40.635741189405
6343,34,0,"",4,14,169.58362226177,69.3465093447931,40588,"",4.8,0,98150,2.66666666666667,1380.54543716306,2.41725490196078,449788.666666667,81.1466666666667,330558,127.432745098039,0,54.2764705882353,173725,7,737395,1714,223,137513,2.44980392156863,418018,911120,1905053.07843137,2.53333333333333,31.1260784313725,409,-73.8296362115529,40.7585497799048
6354,29,1,3,4,4,104.519995068688,69.9503258832647,47136,"",9.24324324324324,0,84983,6.37837837837838,1214.65581133582,3.26945945945946,2247571.81081081,73.4664864864865,280103,103.107297297297,0,71.7297297297297,470297,43,643115,2455,603,256430,9.13945945945946,120867,1113412,8193787.4054054,8.48648648648649,47.5894594594595,2326,-73.9883904453283,40.7591641861067
6366,14,0,"",4,"",119.032566090727,75.1344576991308,39304,"",2,0,0,2.23214285714286,307.50763837353,1.28442857142857,39995.0571428571,53.7667142857143,230566,95.8178571428571,0,33.4662857142857,210629,4,85444,0,202,7028,0.96,78416,296073,164413.5,0,28.3714285714286,252,-73.8825791289575,40.7558535717737
6367,21,1,"",4,2,90.7938798268463,61.8906084432811,32842,"",7.42857142857143,0,133835,10.8214285714286,1241.36917023111,6.46392857142857,2023531.28571429,89.5860714285714,315856,105.841071428571,3,94.9578571428571,2676178,33,261693,0,2639,12187,7.42857142857143,77534,2937871,8284978.10714286,0,91.4525,2688,-73.9499370521869,40.7720736401001
