"","O","D","Diff"
"569",42,232,-23
"570",42,246,-49
"571",43,11,-36
"572",43,21,-25
"573",43,22,-24
"574",43,25,-30
"575",43,29,-21
"576",43,34,-47
"577",43,37,-24
"578",43,38,-31
"579",43,39,-27
"580",43,40,-22
"581",43,41,-32
"582",43,42,-24
"583",43,44,-167
"584",43,45,-75
"585",43,46,-34
"586",43,47,-106
"587",43,48,-45
"588",43,49,-52
"589",43,50,-42
"590",43,52,-28
"591",43,53,-122
"592",43,54,-66
"593",43,57,-30
"594",43,87,-52
"595",43,88,-86
"596",43,89,-20
"597",43,90,-36
"598",43,91,-32
"599",43,92,-24
"600",43,95,-27
"601",43,261,-138
"602",44,13,-24
"603",44,43,-167
"604",44,45,-26
"605",44,47,-27
"606",44,48,-20
"607",44,50,-30
"608",44,59,-32
"609",44,60,-21
"610",44,90,-34
"611",44,91,-20
"612",45,13,-44
"613",45,14,-21
"614",45,15,-30
"615",45,43,-75
"616",45,44,-26
"617",45,47,-21
"618",45,48,-33
"619",45,50,-65
"620",45,58,-22
"621",45,59,-58
"622",45,60,-41
"623",45,61,-35
"624",45,63,-48
"625",45,65,-22
"626",45,87,-21
"627",45,90,-59
"628",45,91,-26
"629",45,110,-20
"630",45,117,-21
"631",45,151,-35
"632",45,299,-20
"633",45,367,-22
"634",46,13,-21
"635",46,43,-34
"636",46,69,-26
"637",46,91,-24
"638",47,13,-33
"639",47,43,-106
"640",47,44,-27
"641",47,45,-21
"642",47,69,-35
"643",47,71,-39
"644",47,87,-29
"645",47,152,-23
"646",47,246,-20
"647",47,367,-22
"648",48,43,-45
"649",48,44,-20
"650",48,45,-33
"651",48,87,-37
"652",48,91,-41
"653",48,261,-34
"654",49,43,-52
"655",49,87,-39
"656",49,91,-39
"657",49,261,-34
"658",50,13,-29
"659",50,43,-42
"660",50,44,-30
"661",50,45,-65
"662",50,69,-35
"663",50,70,-26
"664",50,71,-23
"665",50,87,-26
"666",50,143,-21
"667",50,152,-22
"668",50,246,-34
"669",50,261,-28
"670",52,43,-28
"671",52,69,-20
"672",52,246,-28
"673",53,43,-122
"674",53,87,-25
"675",54,43,-66
"676",54,87,-27
"677",57,13,-21
"678",57,43,-30
"679",57,87,-34
"680",57,246,-25
"681",57,261,-49
"682",58,45,-22
"683",58,87,-36
"684",58,261,-69
"685",59,44,-32
"686",59,45,-58
"687",59,87,-35
"688",59,143,-26
"689",59,261,-73
"690",60,44,-21
"691",60,45,-41
"692",60,87,-33
"693",60,143,-22
"694",60,261,-77
"695",61,45,-35
"696",61,87,-46
"697",61,261,-123
"698",63,45,-48
"699",63,87,-21
"700",63,261,-47
"701",64,261,-35
"702",65,45,-22
"703",65,87,-37
"704",65,261,-88
"705",66,143,-23
"706",66,146,-24
"707",66,150,-26
"708",66,152,-20
"709",66,261,-32
"710",68,152,-21
"711",69,1,-38
"712",69,2,-39
"713",69,5,-71
"714",69,6,-192
"715",69,11,-173
"716",69,12,-28
"717",69,14,-26
"718",69,16,-51
"719",69,18,-296
"720",69,19,-64
"721",69,20,-349
"722",69,21,-432
"723",69,22,-98
"724",69,23,-73
"725",69,24,-26
"726",69,25,-60
"727",69,26,-29
"728",69,27,-173
"729",69,28,-38
"730",69,29,-65
"731",69,30,-20
"732",69,31,-56
"733",69,33,-37
"734",69,34,-60
"735",69,35,-33
"736",69,37,-69
"737",69,38,-34
"738",69,39,-56
"739",69,40,-68
"740",69,41,-101
