O,D,Diff
183,261,-30
282,103,-30
103,282,-30
289,254,-30
254,289,-30
294,87,-30
87,294,-30
205,11,-30
11,205,-30
207,204,-30
204,207,-30
153,145,-30
145,153,-30
261,139,-30
139,261,-30
50,44,-30
44,50,-30
237,231,-30
231,237,-30
71,42,-30
42,71,-30
368,261,-30
261,368,-30
206,25,-30
57,43,-30
43,57,-30
25,206,-30
292,268,-30
268,292,-30
206,3,-30
3,206,-30
158,12,-30
12,158,-30
289,252,-30
252,289,-30
71,31,-30
31,71,-30
266,264,-30
264,266,-30
207,1,-30
1,207,-30
295,261,-30
261,295,-30
261,182,-30
182,261,-30
70,16,-30
16,70,-30
220,1,-30
1,220,-30
40,13,-30
13,40,-30
13,3,-30
3,13,-30
261,173,-30
173,261,-30
232,1,-30
1,232,-30
259,232,-30
232,259,-30
251,103,-30
103,251,-30
279,23,-30
23,279,-30
45,15,-30
15,45,-30
301,261,-30
261,301,-30
152,25,-30
25,152,-30
261,172,-30
172,261,-30
156,8,-30
8,156,-30
289,253,-30
253,289,-30
208,34,-31
34,208,-31
150,42,-31
42,150,-31
246,20,-31
20,246,-31
156,41,-31
41,156,-31
279,25,-31
25,279,-31
152,11,-31
11,152,-31
73,20,-31
20,73,-31
359,284,-31
284,359,-31
292,87,-31
87,292,-31
239,11,-31
11,239,-31
72,31,-31
31,72,-31
268,87,-31
87,268,-31
420,34,-31
34,420,-31
241,239,-31
239,241,-31
151,145,-31
145,151,-31
110,87,-31
87,110,-31
208,16,-31
16,208,-31
108,103,-31
103,108,-31
245,232,-31
232,245,-31
218,207,-31
207,218,-31
261,189,-31
189,261,-31
42,13,-31
13,42,-31
157,152,-31
152,157,-31
256,241,-31
241,256,-31
268,105,-31
105,268,-31
43,38,-31
38,43,-31
158,25,-31
25,158,-31
158,22,-32
22,158,-32
261,203,-32
203,261,-32
238,12,-32
12,238,-32
282,105,-32
260,152,-32
152,260,-32
105,282,-32
59,44,-32
44,59,-32
152,40,-32
40,152,-32
175,143,-32
143,175,-32
285,34,-32
34,285,-32
284,34,-32
34,284,-32
82,34,-32
34,82,-32
231,34,-32
43,41,-32
