O,D,Diff
708,712,-101.229996
708,717,-28.52
708,723,-70.290001
708,726,-47.23
708,727,-75
709,424,-23.040001
709,430,-25.75
709,708,-310.779999
709,713,-262.679993
710,708,-156.829987
710,713,-141.440002
711,708,-65.010002
711,713,-60.080002
711,722,-40.580002
711,728,-32.610001
711,961,-54.800003
711,962,-39.540005
711,963,-39.170002
711,964,-50.029999
711,966,-48.639999
711,969,-35.089996
711,971,-28.210001
711,985,-43.639999
712,708,-95.340004
712,713,-109.330002
713,425,-25.109999
713,427,-24.34
713,435,-25.630001
713,436,-26.529999
713,439,-22.470001
713,440,-21.01
713,441,-66.160004
713,688,-22.01
713,697,-49.25
713,698,-24.4
713,699,-24.629999
713,700,-28.030001
713,701,-20.879999
713,702,-23.309999
713,704,-55.649998
713,709,-277.75
713,710,-148.550003
713,711,-63.979996
713,712,-114.389999
713,717,-25.09
713,723,-62.880001
713,726,-75.959999
713,727,-119.550003
715,985,-20.789999
717,708,-26.150002
717,713,-23.740002
717,722,-31.369999
717,728,-21.23
717,961,-37.380001
717,962,-24.689999
717,963,-27.130001
717,964,-31.039999
717,966,-38.239998
717,969,-22.059999
717,985,-29.68
720,722,-21.950001
720,961,-24.219999
720,966,-29.579998
721,722,-178.26001
721,728,-43.77
721,961,-95.209999
721,962,-53.010002
721,963,-55.530003
721,964,-56.790001
721,966,-96.970001
721,969,-50.409996
721,970,-23.049999
721,971,-34.650002
721,985,-55.959999
722,439,-26.26
722,704,-27.400002
722,711,-44.709999
722,717,-34.040001
722,720,-22.530001
722,721,-187.720001
722,723,-60.810001
722,724,-21.52
722,725,-30.049999
722,961,-119
722,962,-54.780003
722,963,-65.029999
722,964,-57.009998
722,966,-414.910004
722,969,-59.669998
722,970,-31.24
722,971,-50
722,972,-21.07
722,974,-27.249998
722,975,-21.809999
722,979,-31.610001
722,982,-20.67
722,983,-23.220001
722,984,-22.199999
722,985,-73.559998
723,708,-64.380005
723,713,-58.279999
723,722,-54.339996
723,728,-43.590004
723,961,-73.339996
723,962,-54.149998
723,963,-53.389999
723,964,-70.230003
723,966,-63.809998
723,969,-51.48
723,970,-22.189999
723,971,-40.66
723,985,-62.359997
724,722,-21.290001
724,728,-94.159996
724,961,-21.709999
724,962,-38.080002
724,966,-31.059998
725,722,-28.92
725,961,-36.559998
725,963,-24.15
725,964,-24.120001
725,966,-39.890003
725,969,-22.179998
725,985,-25.720001
726,708,-49.02
726,713,-81.059998
726,728,-121.040001
726,961,-26.59
726,962,-38.5
727,708,-76.629997
727,713,-125.560005
727,728,-24.790001
728,709,-21.530001
728,711,-35.300003
728,717,-23.100002
728,721,-45.34
728,723,-47.91
728,724,-102.989998
728,726,-120.010002
728,727,-24.43
728,961,-84.669998
728,962,-141.639999
728,963,-48.649998
728,964,-31.140001
728,966,-27.23
729,730,-164.009995
729,731,-24.280001
729,733,-24.210001
729,734,-35.98
729,735,-22.58
729,736,-55.16
729,737,-37.240002
729,738,-80.769997
730,457,-21.639999
730,458,-28.669998
730,459,-34.730003
730,460,-31.77
730,461,-66.279999
730,462,-23.34
730,463,-66.349998
730,464,-94.979996
730,465,-30.139999
730,466,-38.310001
730,472,-23.74
730,476,-55.300003
730,481,-39.360001
730,484,-23.689999
730,486,-24.09
730,487,-33.580002
730,729,-177.73999
730,731,-77.900002
730,732,-83.840004
730,733,-81.020004
730,734,-244.100006
730,735,-68.980003
730,736,-726.75
730,737,-86.18
730,738,-124.589996
730,739,-25.640001
731,729,-25.960001
731,730,-78.830002
731,732,-272.480011
731,736,-117
732,730,-79.679993
732,731,-258.660004
732,733,-105.920006
732,734,-123.810005
732,735,-63.079994
732,736,-119.630005
732,737,-311.460022
733,729,-25.810001
733,730,-81.229996
733,732,-111.130005
733,736,-121.089996
734,729,-34.900002
734,730,-235.040009
734,732,-121.419998
734,736,-344.859985
734,738,-30.539999
735,729,-24.51
735,730,-70.480003
735,732,-66.849998
735,736,-104.060005
736,461,-29.23
736,463,-29.140001
736,464,-36.349998
736,476,-24.380001
736,729,-58.5
736,730,-731.730042
736,731,-115.440002
736,732,-126.150002
736,733,-120.669998
736,734,-359.549988
736,735,-101.799995
736,737,-141.089996
736,738,-45.279999
737,464,-24.970001
737,729,-40.389999
737,730,-88.93
737,732,-333.720001
737,736,-146.709991
737,738,-28.73
738,461,-26.220001
738,463,-25.379999
738,464,-39.060001
738,465,-30.809998
738,466,-120.929993
738,729,-84.559998
738,730,-121.029999
738,734,-32.200001
738,736,-44
738,737,-27.5
738,739,-177.610001
738,740,-90.860001
738,741,-34.130001
738,743,-24.730001
739,461,-29.549999
739,463,-43.66
739,464,-36.91
739,465,-60.789997
739,466,-271.889984
739,476,-23.5
