Z	DtaMerge_base	DtaMerge_1ft	DtaMerge_2ft	DtaMerge_3ft	DtaMerge_4ft	DtaMerge_5ft	DtaMerge_6ft
209	0.028810531	0.023134370	0.017593804	0.011945660	0.003127277	0.000518424	0.000000000
210	0.032145824	0.026272281	0.019219945	0.012522010	0.007805205	0.006772422	0.006353299
211	0.033651756	0.028943817	0.020725999	0.014477028	0.008823027	0.007934866	0.007505607
212	0.029474477	0.028066631	0.018721822	0.013711065	0.009447437	0.008629585	0.008785299
213	0.027281422	0.021410236	0.015265292	0.011545855	0.006492089	0.005613336	0.004638378
214	0.028677238	0.022650291	0.016892624	0.012086328	0.006137204	0.000000000	0.000000000
215	0.029463358	0.022803570	0.017162024	0.011553428	0.007350084	0.006375327	0.005891043
216	0.037797147	0.033262799	0.024057919	0.011727131	0.008616440	0.000000000	0.000000000
217	0.033422764	0.032745124	0.018200177	0.013270281	0.012274536	0.010690831	0.010805202
218	0.029859957	0.027747686	0.017318974	0.013216777	0.011906906	0.010092117	0.010588084
219	0.032193939	0.025996273	0.018414153	0.012575710	0.014952006	0.010680742	0.009063852
220	0.027862415	0.023459377	0.015919052	0.014350488	0.013071903	0.010675914	0.011495776
221	0.029598456	0.028877238	0.017763076	0.015104767	0.011562371	0.010138552	0.010779862
222	0.029252621	0.027301550	0.017169262	0.016525141	0.012644532	0.011495719	0.012098730
223	0.027065130	0.026596932	0.017954189	0.014279303	0.010919579	0.010654324	0.011606384
224	0.026527607	0.025416708	0.018160326	0.016183237	0.012894471	0.011879540	0.012982661
225	0.025810396	0.023933803	0.015296479	0.015232447	0.012056168	0.009936699	0.011132393
226	0.028922170	0.022777172	0.015217526	0.015170024	0.014603735	0.012652495	0.012617650
227	0.027819448	0.021457575	0.015165454	0.014221955	0.012161239	0.011579299	0.012084438
228	0.024089107	0.022862208	0.017074798	0.014669602	0.011985926	0.011607491	0.012744808
229	0.024052604	0.020604268	0.016282679	0.015087846	0.012243953	0.011967644	0.012459900
230	0.023499073	0.019693008	0.015544893	0.014542165	0.012139573	0.011527884	0.012728577
231	0.031656338	0.026080939	0.015254470	0.012565243	0.012923269	0.006769715	0.000000000
232	0.032364066	0.028597330	0.024489173	0.017514593	0.009428186	0.000000000	0.000000000
233	0.029380217	0.017585019	0.013321372	0.012392614	0.011128895	0.010323402	0.011747281
234	0.030753196	0.018658637	0.015676184	0.014258015	0.011131943	0.011326377	0.013150555
235	0.024864554	0.016786580	0.014941217	0.013871323	0.011112080	0.010732117	0.012412066
236	0.029399894	0.016488768	0.015284347	0.014152625	0.011523469	0.011882439	0.013432394
237	0.039170851	0.038825049	0.031003481	0.018900217	0.013208572	0.008247298	0.000000000
238	0.039264426	0.040103121	0.032714987	0.020163173	0.014847049	0.012436136	0.011492593
239	0.034240819	0.035059555	0.028628769	0.016863551	0.011730828	0.009743797	0.008999218
240	0.032840554	0.015323806	0.010566866	0.010120033	0.007654779	0.007732131	0.009049965
241	0.026919716	0.014818751	0.010758032	0.010286227	0.007744610	0.007939643	0.009202192
242	0.042379717	0.038036634	0.032563335	0.021373487	0.012834454	0.007754450	0.000000000
243	0.041591587	0.039811722	0.034831707	0.021734249	0.014104765	0.010269906	0.008747718
244	0.040622039	0.038419509	0.033939693	0.020871275	0.013254854	0.006009813	0.000000000
245	0.044688007	0.039786776	0.030152729	0.023505163	0.016712087	0.013372677	0.011997434
246	0.042679885	0.038343988	0.029243899	0.022709417	0.016232214	0.013169550	0.011832210
247	0.041942913	0.038066026	0.032001277	0.022241742	0.015567621	0.011836475	0.010374317
248	0.043404060	0.038266793	0.030507356	0.022418726	0.015870964	0.014070679	0.012902466
249	0.043015903	0.038551631	0.029332232	0.023415965	0.017305251	0.014723630	0.013740691
250	0.040093429	0.037231734	0.030892661	0.021291507	0.015686303	0.013561132	0.012500412
251	0.041055710	0.037107623	0.030559891	0.022606848	0.016828166	0.015117083	0.014313783
252	0.041644648	0.039017100	0.031854954	0.022584456	0.017305569	0.015710666	0.014980748
253	0.040426142	0.038357490	0.031709902	0.021345722	0.016145195	0.014259387	0.013365548
254	0.040034315	0.037762055	0.030991673	0.020747049	0.015859144	0.014322533	0.013610299
255	0.039747476	0.037928903	0.031275955	0.020504093	0.015677323	0.014006316	0.013169527
256	0.036180671	0.034747101	0.027342644	0.017320648	0.012695957	0.011368744	0.010685523
257	0.047481043	0.039385379	0.032146371	0.020940366	0.010631664	0.003157393	0.000000000
258	0.051125524	0.039789175	0.030463342	0.019653857	0.007984792	0.000000000	0.000000000
259	0.048140183	0.040239522	0.030165742	0.020472220	0.009211168	0.000000000	0.000000000
260	0.049550797	0.041999900	0.030033394	0.020416942	0.007568241	0.000000000	0.000000000
261	0.049418598	0.041308455	0.028614173	0.020888515	0.006786114	0.000000000	0.000000000
262	0.046125887	0.035700186	0.019495441	0.013585332	0.001982867	0.000000000	0.000000000
263	0.046725192	0.040689107	0.031502269	0.022238279	0.013103722	0.008568729	0.000000000
