masterid,total,inj,fat,x,y
299,12,12,1,-73.8222767048596,40.6660627737213
310,16,16,0,-73.8923657287189,40.6621477248738
312,18,23,0,-73.9477467563395,40.6880348014517
315,11,11,0,-73.9589917644541,40.6926187497847
332,13,15,0,-73.9879976673365,40.6750647625866
333,26,28,0,-73.9268487432343,40.7013197334876
347,34,33,3,-73.8990247676004,40.7460417903421
351,26,31,0,-73.9448337235454,40.61607081098
361,29,30,0,-73.9675676640622,40.6352487574712
365,11,11,0,-73.9986556534183,40.755237728752
370,24,24,0,-73.9271287502028,40.6213407667346
371,24,28,1,-73.9963157264652,40.7175757147781
375,34,35,1,-73.961881734318,40.6078387464538
379,18,22,0,-73.936032690362,40.8549227688432
380,13,13,0,-73.7788487732369,40.7137837185267
387,16,17,0,-73.886694736771,40.6561927857217
397,35,34,1,-73.9604716883768,40.6252727656035
401,15,15,0,-73.798014792372,40.7042457482754
407,38,38,0,-73.9686657306447,40.7673287113664
415,11,12,0,-73.9286626705588,40.6539127638258
417,37,37,1,-74.0086186618421,40.7113477267836
422,26,27,0,-73.9936407078392,40.7272727342606
424,8,11,0,-73.9134726756603,40.6379547907071
432,9,11,0,-73.9592387413201,40.7592597602342
440,11,13,0,-73.8654467600524,40.8320917171103
442,10,11,0,-73.9231307411813,40.8634037284009
464,10,12,0,-73.8677367385919,40.8536517133211
471,12,16,0,-73.9426596771544,40.6916157690485
474,12,13,0,-73.8954137662752,40.666136795973
477,20,20,1,-73.9532127326844,40.7885117272597
482,36,38,1,-73.9442266609918,40.7839036995143
484,32,33,1,-73.9405437520449,40.7972397551074
518,10,12,0,-73.9210786885293,40.7631797116578
524,13,11,2,-73.9258756998292,40.8660127012655
525,18,18,0,-73.9214817677969,40.7531007630569
529,19,20,0,-73.9170437650312,40.7029327432417
534,27,27,2,-73.9474816904533,40.8152016976853
542,15,18,0,-73.95672369254,40.6590087557869
567,30,31,0,-73.941010712564,40.7882937220726
569,9,13,1,-73.8606987513239,40.8239427255304
576,28,31,0,-73.8767627134197,40.7442497145329
577,14,14,0,-73.9104137856011,40.6374217585613
583,36,46,0,-73.984768723769,40.5766087519684
589,27,29,0,-73.9494537700967,40.8226857497332
603,19,19,1,-73.9609656654292,40.7993227186455
610,11,12,0,-73.9012457647108,40.8544677272632
619,18,19,0,-73.8859627832353,40.8367607559242
624,13,16,0,-73.9552637262967,40.6901667407033
630,34,41,0,-73.9811597439172,40.7843317561536
632,81,84,0,-73.9866437151488,40.7666137243659
635,12,13,0,-73.9621056749629,40.6848817316157
648,13,19,0,-73.8361717944894,40.8652296913638
654,16,17,0,-73.8802777148383,40.7458277281333
655,28,32,0,-73.8424197078399,40.8684566914739
655,11,12,0,-73.8418727262498,40.8681806846973
659,10,12,1,-73.882070783935,40.7478207386117
663,12,13,0,-73.9582977379579,40.7815027666259
678,31,31,0,-73.9485456637725,40.7739557515913
689,57,56,1,-73.9698437120903,40.7570547123807
690,37,41,0,-73.9367926916298,40.7598747234214
696,13,12,1,-73.907227677009,40.8277797045743
698,20,21,0,-74.0075287220703,40.7154107348855
704,17,17,0,-73.8433667229882,40.8652067634768
721,12,13,0,-73.8665740227052,40.8773909974004
721,25,26,0,-73.8665727574153,40.8773827195915
722,15,15,0,-73.908747764131,40.8319987012639
724,12,12,0,-73.9437337337642,40.8384777274756
731,11,11,0,-74.0066056657112,40.7316597429201
734,23,23,0,-73.9770207656641,40.681477758763
761,16,16,1,-73.939763775003,40.6656707463207
763,41,52,0,-73.9811937110864,40.5756097431776
779,23,25,0,-73.9123527230825,40.8476787272771
781,12,13,0,-73.944106692439,40.7020087646325
782,56,64,1,-73.9832636968687,40.7610877898347
796,30,34,0,-73.8893616826366,40.8733817554709
804,19,21,0,-73.9304437258608,40.8486907055856
808,11,11,0,-73.9373907485831,40.6981747489082
815,13,15,0,-73.8984637419628,40.8154137539232
829,33,33,1,-73.9985716470295,40.7502257066144
836,37,38,2,-73.8829677629906,40.8282416983971
842,28,28,0,-73.9513847518213,40.7700507847993
843,17,17,0,-73.8878186886848,40.8353817562182
863,17,20,0,-74.0269487483133,40.6335067574825
871,42,42,0,-73.8676977582474,40.8544847701283
900,17,25,0,-74.0185156544996,40.6372098138936
908,17,17,1,-73.9783356919902,40.7881867759303
916,14,14,0,-74.0088767011273,40.612015782433
