X,Y,masterid,start,end,time_diff,short_span,bc_ped_noi,bc_ped_nof,bc_ped_svA,bc_ped_svB,bc_ped_svC,bc_ped_svO,bc_ped_c_score,ac_ped_noi,ac_ped_nof,ac_ped_svA,ac_ped_svB,ac_ped_svC,ac_ped_svO,ac_ped_c_score,d_ped_noi,d_ped_nof,d_ped_svA,d_ped_svB,d_ped_svC,d_ped_svO,d_ped_c_score,sip_id,combo_treatment
-74.169831840338361,40.570899865164911,31187,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,1,0,0,4,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None""}"
-74.169914916905455,40.573975059414813,28456,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,2,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None""}"
-74.169744341582714,40.576826453601058,6942,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None"",""Sidewalk Expansion-None-None""}"
-74.169488861702604,40.57939637437012,19969,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,3,0,0,0,3,0,6,2,0,0,0,2,0,4,-1,0,0,0,-1,0,-2,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None""}"
-74.157042881994613,40.535967071766073,28068,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Offset"",""Parking Markings-Parking Stripe-None""}"
-74.155933265442158,40.53535375711845,29698,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None""}"
-74.159141064514287,40.537898644551596,35233,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,1,0,0,4,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.158536138348566,40.537252883785229,13622,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None""}"
-74.153984179755881,40.534273447802164,34100,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,2,0,0,0,2,0,4,4,0,2,1,1,0,20,2,0,2,1,-1,0,16,{12-TD-01.0},"{""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None""}"
-74.153639919726871,40.534573584001556,39864,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
