x,y,sip_id_x,masterid,start,end,before_crash,after_crash,short_span,pdiff,sip_id_y,combo_treatment
-74.116842125433905,40.613525459714054,11-RIS-07.0,1444,2011-07-11 00:00:00,2011-08-13 00:00:00,1,4,-1,0.75,11-RIS-07.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.086571183950056,40.594150124164351,12-TD-01.0,25079,2012-07-10 00:00:00,2012-09-07 00:00:00,1,2,-1,0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"")"
-74.08587570521523,40.59588989538662,12-TD-01.0,32892,2012-07-10 00:00:00,2012-09-07 00:00:00,4,2,-1,-1,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"")"
-74.08170252452696,40.598580740476429,12-TD-01.0,23021,2012-07-10 00:00:00,2012-09-07 00:00:00,1,4,-1,0.75,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"")"
-74.08470542071953,40.615154860886079,10-RIS-14.0,31746,2010-05-24 00:00:00,2010-05-24 00:00:00,10,5,-1,-1,10-RIS-14.0,"(""Signal Timing Change-LPI--1"",""Signal Timing Change-LPI--1"",""Signal Timing Change-LPI--1"",""Signal Timing Change-LPI--1"",""Signal Timing Change-LPI--1"",""Signal Timing Change-LPI--1"",""Signal Timing Change-LPI--1"")"
-74.028350316315127,40.622798627092948,12-RIS-08.0,16586,2012-09-19 00:00:00,2012-09-21 00:00:00,12,14,-1,0.142857142857143,12-RIS-08.0,"(""Turn Restrictions-None--1"",""Turn Bays-None--1"",""Turn Restrictions-None--1"")"
-74.021215482189803,40.618471984868798,09-RIS-07.0,36224,2009-08-26 00:00:00,2009-08-27 00:00:00,4,5,-1,0.2,09-RIS-07.0,"(""Turn Bays-None--1"",""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Parking Markings-Parking Stripe-None"",""Turn Bays-None--1"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Bike Facility-Standard-Consistent"",""Bike Facility-Standard-Consistent"")"
-74.019075782545045,40.623614673391486,11-RIS-09.0,18982,2011-04-18 00:00:00,2011-05-12 00:00:00,1,1,-1,0,11-RIS-09.0,"(""Added Median (Non-Tips)-Raised-None"",""Added Median (Non-Tips)-Raised-None"",""Added Median (Non-Tips)-Raised-None"",""Bike Facility-Sharrows-None"",""Bike Facility-Sharrows-None"",""Bike Facility-Sharrows-None"")"
-74.021375188196188,40.637998536184739,12-RIS-10.0,39929,2012-08-20 00:00:00,2012-11-19 00:00:00,1,2,-1,0.5,12-RIS-10.0,Added Median (Non-Tips)-Flush-None
-73.987358564729632,40.608148202356773,09-RIS-14.0,37924,2010-03-14 00:00:00,2010-04-20 00:00:00,5,7,-1,0.285714285714286,09-RIS-14.0,"(""Parking Markings-Non-Bike WPL-None"",""Moving Lane Changes-Removed-None"",""Tree Pits-None--1"",Delineators-None--1,""Ped Ramps-None--1"",""Ped Refuge Island-None--1"",""Tactile Strips-None--1"")"
