O,D,DIFF
213.0,442.0,-124
213.0,443.0,-170
214.0,215.0,-1132
214.0,223.0,-232
214.0,224.0,-134
214.0,228.0,-106
214.0,229.0,-104
214.0,261.0,-125
214.0,303.0,-167
214.0,307.0,-144
214.0,316.0,-165
214.0,318.0,-174
214.0,319.0,-124
214.0,320.0,-146
214.0,321.0,-263
214.0,443.0,-113
215.0,216.0,-153
215.0,219.0,-101
215.0,223.0,-793
215.0,224.0,-390
215.0,226.0,-112
215.0,227.0,-150
215.0,228.0,-326
215.0,229.0,-305
215.0,230.0,-273
215.0,232.0,-214
215.0,236.0,-164
215.0,257.0,-104
215.0,260.0,-108
215.0,261.0,-314
215.0,263.0,-122
215.0,265.0,-131
215.0,302.0,-171
215.0,303.0,-410
215.0,304.0,-287
215.0,305.0,-217
215.0,306.0,-322
215.0,307.0,-492
215.0,308.0,-391
215.0,309.0,-252
215.0,310.0,-219
215.0,311.0,-392
215.0,312.0,-407
215.0,313.0,-308
215.0,314.0,-250
215.0,315.0,-260
215.0,316.0,-866
215.0,317.0,-443
215.0,318.0,-855
215.0,319.0,-386
215.0,320.0,-439
215.0,321.0,-700
215.0,322.0,-148
215.0,323.0,-226
215.0,324.0,-222
215.0,325.0,-219
215.0,326.0,-127
215.0,327.0,-200
215.0,328.0,-122
215.0,442.0,-218
215.0,443.0,-388
215.0,444.0,-176
215.0,445.0,-105
215.0,448.0,-112
215.0,449.0,-252
215.0,450.0,-236
215.0,467.0,-216
215.0,469.0,-146
215.0,470.0,-134
215.0,472.0,-176
215.0,473.0,-126
215.0,474.0,-124
215.0,476.0,-119
215.0,484.0,-110
215.0,489.0,-124
216.0,318.0,-126
223.0,316.0,-232
223.0,318.0,-424
224.0,316.0,-118
224.0,318.0,-247
227.0,318.0,-108
228.0,318.0,-186
229.0,316.0,-134
229.0,318.0,-232
230.0,316.0,-119
230.0,318.0,-225
232.0,318.0,-147
236.0,318.0,-125
238.0,240.0,-114
25.0,215.0,-171
25.0,318.0,-146
253.0,289.0,-103
261.0,316.0,-136
261.0,318.0,-260
263.0,318.0,-107
265.0,318.0,-112
276.0,352.0,-326
287.0,289.0,-131
287.0,352.0,-117
288.0,289.0,-254
289.0,355.0,-102
289.0,356.0,-130
289.0,357.0,-145
289.0,358.0,-120
289.0,359.0,-120
289.0,360.0,-158
289.0,361.0,-142
289.0,367.0,-103
29.0,215.0,-101
302.0,303.0,-392
302.0,304.0,-289
302.0,305.0,-116
302.0,307.0,-319
302.0,308.0,-329
302.0,309.0,-145
302.0,313.0,-153
302.0,317.0,-123
302.0,320.0,-118
302.0,442.0,-114
302.0,443.0,-179
302.0,449.0,-149
303.0,316.0,-337
303.0,318.0,-407
304.0,316.0,-170
304.0,318.0,-192
305.0,316.0,-120
305.0,318.0,-124
306.0,316.0,-253
306.0,318.0,-270
307.0,316.0,-418
307.0,318.0,-409
308.0,316.0,-272
308.0,318.0,-317
309.0,316.0,-162
309.0,318.0,-170
31.0,215.0,-106
310.0,316.0,-113
310.0,318.0,-128
311.0,316.0,-296
311.0,318.0,-278
312.0,316.0,-350
312.0,318.0,-318
313.0,316.0,-226
313.0,318.0,-238
314.0,316.0,-172
314.0,318.0,-180
315.0,316.0,-158
315.0,318.0,-156
316.0,317.0,-335
316.0,318.0,-919
316.0,319.0,-458
316.0,320.0,-563
316.0,321.0,-575
316.0,322.0,-112
316.0,323.0,-108
316.0,325.0,-149
316.0,327.0,-138
316.0,442.0,-128
316.0,443.0,-204
316.0,449.0,-204
316.0,450.0,-142
316.0,467.0,-138
316.0,469.0,-126
316.0,470.0,-112
316.0,472.0,-112
317.0,318.0,-337
318.0,319.0,-739
318.0,320.0,-700
318.0,321.0,-802
318.0,322.0,-159
318.0,323.0,-177
318.0,324.0,-182
318.0,325.0,-239
318.0,326.0,-130
318.0,327.0,-182
318.0,328.0,-113
318.0,442.0,-142
318.0,443.0,-254
318.0,444.0,-108
318.0,449.0,-211
318.0,450.0,-160
