O,D,VAL
5300000000000015,5319910000000119,540
5300000000000015,5319910000000120,280
5300000000000015,532003020000TAD4,30
5300000000000015,7218510000000004,15
5300000000000059,4100000000000033,35
5300000000000059,5300000000000059,2225
5300000000000059,5300000000000060,2070
5300000000000059,5300000000000062,4
5300000000000059,5300000000000063,4
5300000000000059,5300000000000064,10
5300000000000059,5319710000000002,4
5300000000000059,5319820100000001,15
5300000000000059,5319820100000003,4
5300000000000059,5319910000000001,10
5300000000000059,5319910000000002,25
5300000000000059,5319910000000003,15
5300000000000059,5319910000000006,10
5300000000000059,5319910000000007,4
5300000000000059,5319910000000008,4
5300000000000059,5319910000000009,40
5300000000000059,5319910000000011,110
5300000000000059,5319910000000012,4
5300000000000059,5319910000000014,15
5300000000000059,5319910000000015,10
5300000000000059,5319910000000017,10
5300000000000059,5319910000000018,10
5300000000000059,5319910000000019,15
5300000000000059,5319910000000020,65
5300000000000059,5319910000000022,10
5300000000000059,5319910000000025,70
5300000000000059,5319910000000026,4
5300000000000059,5319910000000030,10
5300000000000059,5319910000000032,10
5300000000000059,5319910000000034,4
5300000000000059,5319910000000037,4
5300000000000059,5319910000000038,4
5300000000000059,5319910000000039,75
5300000000000059,5319910000000042,35
5300000000000059,5319910000000044,20
5300000000000059,5319910000000045,30
5300000000000059,5319910000000046,10
5300000000000059,5319910000000047,10
5300000000000059,5319910000000048,15
5300000000000059,5319910000000049,4
5300000000000059,5319910000000050,25
5300000000000059,5319910000000051,80
5300000000000059,5319910000000052,20
5300000000000059,5319910000000053,15
5300000000000059,5319910000000054,25
5300000000000059,5319910000000059,4
5300000000000059,5319910000000060,30
5300000000000059,5319910000000061,10
5300000000000059,5319910000000063,30
5300000000000059,5319910000000074,35
5300000000000059,5319910000000075,4
5300000000000059,5319910000000080,4
5300000000000059,5319910000000081,4
5300000000000059,5319910000000086,15
5300000000000059,5319910000000093,4
5300000000000059,5319910000000095,4
5300000000000059,5319910000000097,10
5300000000000059,5319910000000112,4
5300000000000059,5319910000000115,4
5300000000000059,5319910000000117,10
5300000000000059,532003020000TAD2,4
5300000000000059,532003020000TAD3,40
5300000000000059,7204980000000091,4
5300000000000059,7204980000000093,4
5300000000000059,7205260000000048,15
5300000000000059,7205260000000050,4
5300000000000059,7205260000000052,4
5300000000000059,7205260000000053,15
5300000000000059,7205260000000054,35
5300000000000059,7205260000000055,110
5300000000000059,7205260000000056,30
5300000000000059,7205260000000057,60
5300000000000059,7205260000000058,70
5300000000000059,7218530000000002,4
5300000000000060,5300000000000059,490
5300000000000060,5300000000000060,4930
5300000000000060,5319710000000002,55
5300000000000060,5319710000000005,35
5300000000000060,5319710000000012,10
5300000000000060,5319910000000001,15
5300000000000060,5319910000000020,20
5300000000000060,5319910000000022,90
5300000000000060,5319910000000023,10
5300000000000060,5319910000000025,35
5300000000000060,5319910000000039,50
5300000000000060,5319910000000045,10
5300000000000060,5319910000000051,30
5300000000000060,5319910000000056,15
5300000000000060,5319910000000060,15
5300000000000060,5319910000000070,10
5300000000000060,5319910000000071,20
