id,lng,lat
3619820100009041,-73.7343264184,40.8017495592
3619820100009014,-73.6361028836,40.666831438
3619820100009035,-73.5797796842,40.7600387225
3619820100009019,-73.6192973445,40.7043091096
3619820100009023,-73.5116428584,40.7184920956
3619820100009020,-73.5706178819,40.7270296209
3619820100009021,-73.5479424287,40.6890438367
3619820100009029,-73.5244792871,40.7636927765
3619820100009032,-73.5637267611,40.8189764241
3619820100002029,-74.0288687805,40.62659109
3619820100009028,-73.4831288379,40.7423289945
3619820100002027,-74.0046461674,40.6418889116
3619820100009030,-73.4731848762,40.78324792
3619820100009027,-73.4511048734,40.7410278363
3619820100002030,-74.0161895056,40.6174816585
3619820100009018,-73.5880636008,40.6931307665
3619820100002024,-73.9761991369,40.6405900158
3619820100002021,-73.93796867,40.6442894942
3619820100009036,-73.6301907934,40.7479900789
3619820100009024,-73.469721056,40.6867114684
3619820100002037,-73.9790253581,40.5888767288
3619820100002038,-73.9844351711,40.5766890433
3619820100002032,-74.0083370654,40.6035019753
3419820000000114,-74.4199613599,40.5881709465
3419820000000115,-74.4635296988,40.5703339553
3619820100002028,-74.0098724887,40.652462303
3619820100002014,-73.9766974658,40.6687681602
3419820000000108,-74.3230582312,40.5575990013
3419820000000119,-74.2842477531,40.5183980011
3619820100002012,-73.9962068593,40.6912707908
3619820100002013,-74.0027934775,40.6782287692
3419820000000099,-74.4560523942,40.5513430947
3619820100002011,-73.9855920248,40.691345877
3419820000000104,-74.4292248583,40.5282763355
3619820100002010,-73.9748871305,40.6908022413
3419820000000095,-74.4509646961,40.4969599238
3419820000000120,-74.2712284785,40.4661420253
3419820000000096,-74.4680669817,40.4710252853
3419820000000098,-74.4842778654,40.4439705175
3419820000000102,-74.2296823442,40.585528912
3419820000000113,-74.4390641866,40.4185001065
3419820000000111,-74.4441303941,40.3057749397
3419820000000110,-74.5077128719,40.3791044839
3419820000000109,-74.5706665229,40.3967330352
3419820000000093,-74.552579195,40.3238365394
3419820000000100,-74.4929635405,40.5780284052
3419820000000106,-74.3438837146,40.3728152848
3419820000000107,-74.2952736722,40.41379491
3419820000000092,-74.3986071076,40.355841324
3419820000000117,-74.4039859003,40.5123247898
3419820000000118,-74.3485854918,40.5066409501
3619820100002025,-73.9853472637,40.6527264192
3619820100002009,-73.962353397,40.687955578
3419820000000101,-74.3459712278,40.5909367503
3619820100002007,-73.9499049259,40.6915073335
3419820000000112,-74.3979760321,40.4644654408
3419820000000094,-74.3953992544,40.4279632357
3419820000000121,-74.3468605699,40.4566305145
3619820100002008,-73.9660987395,40.7026938413
3419820000000103,-74.2791990441,40.574536114
3619820100002019,-73.9487730177,40.6665352061
3619820100002022,-73.9516232596,40.6461123529
3419820000000097,-74.3010773215,40.4564112302
3419820000000116,-74.3674178533,40.5527824669
3419820000000105,-74.2610056061,40.5441716575
3419820000000175,-74.4493813421,40.0134903716
3419820000000181,-74.3534420043,40.0675435821
3419820000000176,-74.3278581055,39.9933292891
3419820000000180,-74.1229666101,40.1035152271
3419820000000164,-74.1823298891,40.0674087459
3419820000000179,-74.2061384589,40.0945507515
3419820000000165,-74.2375459759,40.0844037307
3419820000000168,-74.2243749537,40.0097301652
3619820100002020,-73.9474412787,40.6587443527
