O,D,VAL
3619820100001014,3619820100006009,270
3619820100001014,3619820100006010,145
3619820100001015,0900000000000001,285
3619820100001015,3619820100001001,2370
3619820100001015,3619820100001002,1820
3619820100001015,3619820100001003,350
3619820100001015,3619820100001004,175
3619820100001015,3619820100001005,245
3619820100001015,3619820100001006,580
3619820100001015,3619820100001007,360
3619820100001015,3619820100001008,1620
3619820100001015,3619820100001009,1135
3619820100001015,3619820100001010,7255
3619820100001015,3619820100001011,2910
3619820100001015,3619820100001012,365
3619820100001015,3619820100001013,305
3619820100001015,3619820100001014,105
3619820100001015,3619820100001015,6160
3619820100001015,3619820100001016,695
3619820100001015,3619820100001017,355
3619820100001015,3619820100001018,430
3619820100001015,3619820100001021,105
3619820100001015,3619820100003001,130
3619820100001015,3619820100004028,110
3619820100001016,0900000000000001,320
3619820100001016,3419820000000068,185
3619820100001016,3619820100001001,3600
3619820100001016,3619820100001002,2650
3619820100001016,3619820100001003,305
3619820100001016,3619820100001004,235
3619820100001016,3619820100001005,360
3619820100001016,3619820100001006,1205
3619820100001016,3619820100001007,490
3619820100001016,3619820100001008,2500
3619820100001016,3619820100001009,2175
3619820100001016,3619820100001010,9830
3619820100001016,3619820100001011,4640
3619820100001016,3619820100001012,485
3619820100001016,3619820100001013,380
3619820100001016,3619820100001014,295
3619820100001016,3619820100001015,1890
3619820100001016,3619820100001016,8905
3619820100001016,3619820100001017,420
3619820100001016,3619820100001018,455
3619820100001016,3619820100001025,220
3619820100001016,3619820100003001,280
3619820100001016,3619820100003002,130
3619820100001016,3619820100006008,105
3619820100001017,0900000000000001,455
3619820100001017,3419820000000068,270
3619820100001017,3619820100001001,5195
3619820100001017,3619820100001002,2770
3619820100001017,3619820100001003,370
3619820100001017,3619820100001004,245
3619820100001017,3619820100001005,305
3619820100001017,3619820100001006,945
3619820100001017,3619820100001007,835
3619820100001017,3619820100001008,2675
3619820100001017,3619820100001009,2490
3619820100001017,3619820100001010,10335
3619820100001017,3619820100001011,4360
3619820100001017,3619820100001012,650
3619820100001017,3619820100001013,600
3619820100001017,3619820100001014,360
3619820100001017,3619820100001015,2280
3619820100001017,3619820100001016,1555
3619820100001017,3619820100001017,4270
3619820100001017,3619820100001018,805
3619820100001017,3619820100001019,250
3619820100001017,3619820100001021,190
3619820100001017,3619820100001025,215
3619820100001017,3619820100002011,195
3619820100001017,3619820100003001,265
3619820100001017,3619820100003007,115
3619820100001017,3619820100004006,110
3619820100001017,3619820100004020,120
3619820100001017,3619820100004028,170
3619820100001017,3619820100006002,130
3619820100001018,0900000000000001,140
3619820100001018,3619820100001001,1880
3619820100001018,3619820100001002,1230
3619820100001018,3619820100001003,345
3619820100001018,3619820100001004,295
3619820100001018,3619820100001005,385
3619820100001018,3619820100001006,850
3619820100001018,3619820100001007,455
3619820100001018,3619820100001008,1285
3619820100001018,3619820100001009,1035
3619820100001018,3619820100001010,3310
3619820100001018,3619820100001011,1435
3619820100001018,3619820100001012,810
3619820100001018,3619820100001013,340
3619820100001018,3619820100001014,385
3619820100001018,3619820100001015,1235
