ID,fatalities,injuries,masterid,LAT,LNG
34352,0,22,34352,40.65326358,-73.96381166
22176,0,0,22176,40.69481374,-73.98326385
16461,0,36,16461,40.69322986,-73.96784359
22248,0,67,22248,40.67231466,-73.9992651
42093,0,11,42093,40.66683382,-73.98494233
32131,0,25,32131,40.66460638,-73.97684517
24778,0,6,24778,40.65694013,-73.98007013
40240,0,105,40240,40.64779592,-73.97495746
16819,0,80,16819,40.66564166,-73.99599527
4211,0,35,4211,40.66330275,-73.96061545
7674,0,7,7674,40.6854525,-73.99440802
4753,0,41,4753,40.68956106,-73.96711539
43385,1,21,43385,40.67961234,-73.98456912
3149,0,46,3149,40.69502118,-73.98883176
26514,0,6,26514,40.65872279,-73.97515738
22487,0,17,22487,40.68362881,-73.99755088
25628,0,12,25628,40.65854722,-73.99633561
43063,0,30,43063,40.65654911,-74.00209289
20034,0,48,20034,40.68412941,-73.96899198
36124,0,37,36124,40.68986943,-73.98830047
13704,0,59,13704,40.67863912,-73.97350883
37789,0,15,37789,40.67617973,-73.96629558
6241,0,16,6241,40.66629567,-73.98207771
9108,0,13,9108,40.65090816,-73.97171556
38660,0,12,38660,40.66169904,-73.98947
5279,0,16,5279,40.67868178,-73.99767157
7264,0,18,7264,40.69295741,-73.98298466
10389,0,5,10389,40.68414456,-73.99940055
24429,1,22,24429,40.68950631,-73.97013154
2958,0,1,2958,40.67381281,-73.99236938
34375,0,57,34375,40.69159658,-73.99144825
18797,0,15,18797,40.69796045,-73.97379871
30195,0,13,30195,40.67770888,-73.98586016
3385,1,98,3385,40.66092533,-73.96077846
11170,0,47,11170,40.66334968,-73.99828572
20144,0,3,20144,40.67124822,-73.97132526
42664,0,28,42664,40.68059317,-73.98088952
17628,0,101,17628,40.68485662,-73.9780429
41173,0,6,41173,40.67019527,-73.99539183
18462,0,11,18462,40.67231827,-73.97705629
3302,0,16,3302,40.68775161,-73.96978314
27711,0,13,27711,40.68290919,-73.99305193
13355,0,21,13355,40.67577837,-73.98088902
1473,0,4,1473,40.68573326,-73.96130572
3745,0,21,3745,40.68431921,-73.96705568
37094,0,11,37094,40.67670719,-73.97710231
35202,0,36,35202,40.68617459,-73.9704703
32577,0,15,32577,40.64958305,-73.97519446
29022,1,285,29022,40.68176826,-73.96753096
1394,0,11,1394,40.65910783,-73.99575279
30999,0,18,30999,40.68529348,-73.97620068
3056,0,29,3056,40.68672775,-73.99046739
34566,0,42,34566,40.67654705,-73.96352862
1929,0,10,1929,40.65391251,-73.97305104
6890,1,40,6890,40.6812275,-73.98047476
37338,0,2,37338,40.67842017,-74.0000548
26469,0,7,26469,40.67743049,-73.97661553
19286,0,55,19286,40.68967259,-73.96613499
36203,2,29,36203,40.68945227,-73.96807787
31823,0,1,31823,40.69303547,-73.9842921
40419,0,0,40419,40.68142548,-74.00071221
7912,0,1,7912,40.65751465,-73.97615409
15876,0,14,15876,40.66078984,-73.99400419
4823,0,1,4823,40.68079172,-74.00101784
35542,0,2,35542,40.65792048,-73.98622761
37439,0,19,37439,40.68008286,-73.97139415
10930,0,6,10930,40.6580698,-74.00761889
8969,0,4,8969,40.6778333,-73.98825383
3602,0,18,3602,40.6918711,-73.96559989
22436,0,1,22436,40.65805251,-73.97902227
33370,0,0,33370,40.65322874,-73.97699505
3557,0,21,3557,40.66328374,-73.98459157
5687,0,10,5687,40.66978245,-73.98579539
21803,0,23,21803,40.65715035,-73.98343864
33061,1,195,33061,40.67339197,-73.96969166
25521,0,6,25521,40.65464926,-73.97326628
27049,0,16,27049,40.69629706,-73.97851835
26499,0,30,26499,40.66556634,-73.98931273
4398,0,19,4398,40.67576811,-73.98419572
19560,0,174,19560,40.68744842,-73.98011113
18865,0,10,18865,40.67057614,-73.97519617
25896,0,36,25896,40.69361995,-73.96405098
35670,0,15,35670,40.66382323,-73.98745316
26063,0,12,26063,40.67417101,-73.97882278
15801,0,39,15801,40.68395567,-73.98955663
28981,0,0,28981,40.6590501,-73.97933977
32004,0,11,32004,40.65901329,-73.98508679
17574,0,56,17574,40.6583134,-74.00351948
3422,0,2,3422,40.67948243,-73.99537354
28387,0,26,28387,40.65925121,-73.98843135
13739,0,76,13739,40.69336082,-73.97584816
23709,0,26,23709,40.69792084,-73.97279478
43987,0,4,43987,40.68992217,-73.98350982
12323,0,42,12323,40.68095546,-73.96767828
15145,0,48,15145,40.66440162,-73.99393016
22571,0,3,22571,40.65309977,-73.97513631
20844,0,122,20844,40.68156262,-73.9665765
20067,0,9,20067,40.68712723,-73.99360423
10309,0,14,10309,40.66093622,-73.98323712
8707,0,11,8707,40.6867136,-73.97905711
27767,0,61,27767,40.69600875,-73.97142546
6666,0,7,6666,40.68609625,-73.99635808
13576,0,43,13576,40.6469274,-73.9823094
29137,0,7,29137,40.67347054,-73.99838807
32271,0,112,32271,40.68183563,-73.97583406
31601,0,40,31601,40.65710787,-74.00150985
35168,1,38,35168,40.66688832,-73.9815818
29047,0,3,29047,40.64948227,-73.97335288
10709,0,25,10709,40.67327082,-73.98951104
8057,0,30,8057,40.6807332,-73.97450396
22848,0,4,22848,40.68213315,-74.0003716
718,0,1,718,40.67236382,-74.00507902
22453,0,21,22453,40.68857104,-73.9910934
15989,0,8,15989,40.68037264,-73.98653303
5652,0,54,5652,40.67799868,-73.97305252
28853,0,2,28853,40.69488514,-73.98514306
34267,0,11,34267,40.66395033,-73.98072353
734,0,36,734,40.6814869,-73.97702317
2130,1,32,2130,40.6615924,-73.99684906
33924,0,26,33924,40.69219479,-73.98627232
15042,0,21,15042,40.67950195,-73.99728253
10918,0,4,10918,40.67475731,-74.0105535
24715,0,11,24715,40.67480452,-73.97839032
20235,0,39,20235,40.67474149,-73.9977698
