id,Zone,Area,BlockStart,BlockEnd,PayBoxAddress,Dir,StreetName,StreetSU,Address,LOC,LAT,LNG,ExistingRevenue,RevenueValue,FineLevel,NumberSpaces,Required,FullUtilizationAmount,2013_2014FullUtilization,UtilizationRate,Impacted
1040,1,496,4916,4926,4918,N,LINCOLN,AVE,"4918 N LINCOLN AVE, Chicago, IL","(41.97123149999999, -87.6905517)",41.97123149999999,-87.6905517,10794.5,10794.5,50,6,Non-CBD,52584,8764,0.2053,Impacted
1041,1,496,4905,4937,4921,N,LINCOLN,AVE,"4921 N LINCOLN AVE, Chicago, IL","(41.9713242, -87.69026679999999)",41.9713242,-87.69026679999999,13125.75,13125.75,50,6,Non-CBD,52584,8764,0.2496,Impacted
1042,1,496,5012,5034,5026,N,LINCOLN,AVE,"5026 N LINCOLN AVE, Chicago, IL","(41.9724925, -87.6912919)",41.9724925,-87.6912919,4674.06,4674.06,50,10,Non-CBD,87640,8764,0.0533,Impacted
1043,1,496,5003,5035,5027,N,LINCOLN,AVE,"5027 N LINCOLN AVE, Chicago, IL","(41.9724377, -87.6910044)",41.9724377,-87.6910044,4428.4,4428.4,50,5,Non-CBD,43820,8764,0.1011,Impacted
1044,1,496,5049,5071,5065,N,LINCOLN,AVE,"5065 N LINCOLN AVE, Chicago, IL","(41.97366, -87.691389)",41.97366,-87.691389,19127.12,19127.12,50,13,Non-CBD,113932,8764,0.1679,Impacted
1045,1,496,5060,5076,5066,N,LINCOLN,AVE,"5066 N LINCOLN AVE, Chicago, IL","(41.973484, -87.69205)",41.973484,-87.69205,14839.19,14839.19,50,9,Non-CBD,78876,8764,0.1881,Impacted
1046,1,496,5104,5118,5116,N,LINCOLN,AVE,"5116 N LINCOLN AVE, Chicago, IL","(41.9745669, -87.69249429999999)",41.9745669,-87.69249429999999,8720.26,8720.26,50,5,Non-CBD,43820,8764,0.199,Impacted
1047,1,496,5105,5119,5113,N,LINCOLN,AVE,"5113 N LINCOLN AVE, Chicago, IL","(41.974614, -87.691768)",41.974614,-87.691768,8370.37,8370.37,50,7,Non-CBD,61348,8764,0.1364,Impacted
1048,1,496,5134,5140,5136,N,LINCOLN,AVE,"5136 N LINCOLN AVE, Chicago, IL","(41.9751144, -87.6923094)",41.9751144,-87.6923094,1409.08,1409.08,50,4,Non-CBD,28792,7198,0.0489,Impacted
1049,1,496,5131,5149,5145,N,LINCOLN,AVE,"5145 N LINCOLN AVE, Chicago, IL","(41.9753254, -87.6921873)",41.9753254,-87.6921873,5875.42,5875.42,50,13,Non-CBD,93574,7198,0.0628,Impacted
1050,1,521,5315,5347,5327,N,LINCOLN,AVE,"5327 N LINCOLN AVE, Chicago, IL","(41.9785001, -87.69259029999999)",41.9785001,-87.69259029999999,4005.68,4005.68,50,6,Non-CBD,52584,8764,0.0762,Impacted
1051,1,521,5315,5347,5337,N,LINCOLN,AVE,"5337 N LINCOLN AVE, Chicago, IL","(41.9787235, -87.69260810000002)",41.9787235,-87.69260810000002,1950.39,1950.39,50,9,Non-CBD,78876,8764,0.0247,Impacted
1052,1,521,5314,5328,5322,N,LINCOLN,AVE,"5322 N LINCOLN AVE, Chicago, IL","(41.97843659999999, -87.692622)",41.97843659999999,-87.692622,2330.31,2330.31,50,7,Non-CBD,61348,8764,0.038,Impacted
1053,1,521,5338,5360,5348,N,LINCOLN,AVE,"5348 N LINCOLN AVE, Chicago, IL","(41.9791726, -87.693083)",41.9791726,-87.693083,4038.23,4038.23,50,11,Non-CBD,96404,8764,0.0419,Impacted
1054,1,521,5413,5451,5419,N,LINCOLN,AVE,"5419 N LINCOLN AVE, Chicago, IL","(41.980113, -87.6924389)",41.980113,-87.6924389,20439.22,20439.22,50,9,Non-CBD,78876,8764,0.2591,Impacted
1055,1,521,5413,5451,5441,N,LINCOLN,AVE,"5441 N LINCOLN AVE, Chicago, IL","(41.9807624, -87.6925583)",41.9807624,-87.6925583,12338.04,12338.04,50,5,Non-CBD,43820,8764,0.2816,Impacted
1056,1,521,5546,5586,5578,N,LINCOLN,AVE,"5578 N LINCOLN AVE, Chicago, IL","(41.9827093, -87.69511639999999)",41.9827093,-87.69511639999999,1108.92,1108.92,50,8,Non-CBD,70112,8764,0.0158,Impacted
1057,1,516,6110,6124,6120,N,LINCOLN,AVE,"6120 N LINCOLN AVE, Chicago, IL","(41.9931208, -87.7123646)",41.9931208,-87.7123646,9008.2,9008.2,50,8,Non-CBD,70112,8764,0.1285,Impacted
1058,1,516,6140,6160,6146,N,LINCOLN,AVE,"6146 N LINCOLN AVE, Chicago, IL","(41.993538, -87.713099)",41.993538,-87.713099,19316.44,19316.44,50,13,Non-CBD,113932,8764,0.1695,Impacted
1059,1,516,6202,6220,6212,N,LINCOLN,AVE,"6212 N LINCOLN AVE, Chicago, IL","(41.994556, -87.714753)",41.994556,-87.714753,498.46,498.46,50,6,Non-CBD,52584,8764,0.0095,Impacted
1060,1,516,6248,6270,6254,N,LINCOLN,AVE,"6254 N LINCOLN AVE, Chicago, IL","(41.9953077, -87.7155049)",41.9953077,-87.7155049,368.86,368.86,50,12,Non-CBD,105168,8764,0.0035,Impacted
1061,1,516,6302,6332,6316,N,LINCOLN,AVE,"6316 N LINCOLN AVE, Chicago, IL","(41.9959648, -87.71704210000001)",41.9959648,-87.71704210000001,12801.32,12801.32,50,15,Non-CBD,131460,8764,0.0974,Impacted
1062,1,918,2553,2559,2555,N,LINDEN,PL,"2555 N LINDEN PL, Chicago, IL","(41.92690109999999, -87.70558129999999)",41.92690109999999,-87.70558129999999,2608.61,2608.61,50,5,Non-CBD,28170,5634,0.0926,Impacted
1063,1,918,2548,2562,2552,N,LINDEN,PL,"2552 N LINDEN PL, Chicago, IL","(41.9268841, -87.70561149999999)",41.9268841,-87.70561149999999,7833.04,7833.04,50,8,Non-CBD,45072,5634,0.1738,Impacted
1064,1,320,3143,3155,3155,N,LINDER,AVE,"3155 N LINDER AVE, Chicago, IL","(41.93810939999999, -87.764005)",41.93810939999999,-87.764005,1646.29,1646.29,50,7,Non-CBD,39438,5634,0.0417,Impacted
1065,1,320,3144,3158,3156,N,LINDER,AVE,"3156 N LINDER AVE, Chicago, IL","(41.93806379999999, -87.7640405)",41.93806379999999,-87.7640405,5279.06,5279.06,50,8,Non-CBD,45072,5634,0.1171,Impacted
1066,1,320,3203,3215,3209,N,LINDER,AVE,"3209 N LINDER AVE, Chicago, IL","(41.9389009, -87.76403069999999)",41.9389009,-87.76403069999999,2069.85,2069.85,50,7,Non-CBD,39438,5634,0.0525,Impacted
1067,1,320,3210,3216,3214,N,LINDER,AVE,"3214 N LINDER AVE, Chicago, IL","(41.9390527, -87.76407080000001)",41.9390527,-87.76407080000001,1179.02,1179.02,50,4,Non-CBD,22536,5634,0.0523,Impacted
1068,1,506,4811,4833,4823,N,LIPPS,AVE,"4823 N LIPPS AVE, Chicago, IL","(41.96869299999999, -87.759508)",41.96869299999999,-87.759508,3765.09,3765.09,50,11,Non-CBD,96404,8764,0.0391,Impacted
1069,1,506,4804,4836,4824,N,LIPPS,AVE,"4824 N LIPPS AVE, Chicago, IL","(41.9685204, -87.7598683)",41.9685204,-87.7598683,5158.09,5158.09,50,14,Non-CBD,122696,8764,0.042,Impacted
1070,1,918,3129,3149,3131,W,LOGAN,BLVD,"3131 W LOGAN BLVD, Chicago, IL","(41.9276966, -87.7062964)",41.9276966,-87.7062964,42224.07,42224.07,50,10,Non-CBD,87640,8764,0.4818,Impacted
1071,1,505,4753,4759,4757,N,LONDON,AVE,"4757 N LONDON AVE, Chicago, IL","(41.9671481, -87.7615646)",41.9671481,-87.7615646,1285.71,1285.71,50,5,Non-CBD,28170,5634,0.0456,Impacted
1072,1,505,4752,4758,4754,N,LONDON,AVE,"4754 N LONDON AVE, Chicago, IL","(41.9671447, -87.7616061)",41.9671447,-87.7616061,1518.86,1518.86,50,4,Non-CBD,22536,5634,0.0674,Impacted
1073,1,505,4752,4760,4756,N,LONG,AVE,"4756 N LONG AVE, Chicago, IL","(41.9671534, -87.7625726)",41.9671534,-87.7625726,4601.83,4601.83,50,5,Non-CBD,28170,5634,0.1634,Impacted
1074,1,506,4803,4831,4815,N,LONG,AVE,"4815 N LONG AVE, Chicago, IL","(41.9677845, -87.7625947)",41.9677845,-87.7625947,4840.52,4840.52,50,10,Non-CBD,56340,5634,0.0859,Impacted
1075,1,320,3147,3159,3155,N,LOTUS,AVE,"3155 N LOTUS AVE, Chicago, IL","(41.9381251, -87.7627629)",41.9381251,-87.7627629,3543.16,3543.16,50,7,Non-CBD,39438,5634,0.0898,Impacted
1076,1,433,2403,2411,2407,N,LOWELL,AVE,"2407 N LOWELL AVE, Chicago, IL","(41.924546, -87.7353128)",41.924546,-87.7353128,3917.98,3917.98,50,9,Non-CBD,50706,5634,0.0773,Impacted
1077,1,320,3147,3155,3151,N,LUNA,AVE,"3151 N LUNA AVE, Chicago, IL","(41.9380907, -87.7652265)",41.9380907,-87.7652265,2134.59,2134.59,50,5,Non-CBD,28170,5634,0.0758,Impacted
1078,1,320,3146,3158,3152,N,LUNA,AVE,"3152 N LUNA AVE, Chicago, IL","(41.938092, -87.7652634)",41.938092,-87.7652634,7635.77,7635.77,50,7,Non-CBD,39438,5634,0.1936,Impacted
1079,1,476,1720,1732,1726,W,LUNT,AVE,"1726 W LUNT AVE, Chicago, IL","(42.0090094, -87.6733028)",42.0090094,-87.6733028,8445.33,8445.33,50,4,Non-CBD,35056,8764,0.2409,Impacted
